"Wechat Payment(Native) by Alipaymate.com","Wechat Payment(Native) by Alipaymate.com"
"Tenpay","Tenpay"
"Enabled","Enabled"
"Title","Title"
"Merchant ID","Merchant ID"
"10 digits Merchant ID","10 digits Merchant ID"
"Key","Key"
"Should be 32 characters.","Should be 32 characters."
"Log","Log"
"Debug","Debug"
"Payment to applicable countries","Payment to applicable countries"
"Payment to Specific countries","Payment to Specific countries"
"Sort order","Sort order"
"Payment successful","Payment successful"
"Redirect to Tenpay","Redirect to Tenpay"
"You will be redirected to the Tenpay ...","You will be redirected to the Tenpay ..."
"WeChat","WeChat"
"WeChat Payment","WeChat Payment"
"Tenpay Payment","Tenpay Payment"
"Order status when payment accepted","Order status when payment accepted"
"Locate payment problem quickly, it is recommended to enable the log","Locate payment problem quickly, it is recommended to enable the log"
"Show WeChat Logo","Show WeChat Logo"
"Show WeChat logo on payment methods section","Show WeChat logo on payment methods section"