"Color <color> (admin)";"Active From <custom_design_from> (admin)";"Active To <custom_design_to> (admin)";"Allow Gift Message <gift_message_available> (admin)";"Apply MAP <msrp_enabled> (admin)";"Base Image <image> (admin)";"Cost <cost> (admin)";"Country of Manufacture <country_of_manufacture> (admin)";"Created At  <created_at>";"Custom Design <custom_design> (admin)";"Custom Layout Update <custom_layout_update> (admin)";"Description <description> (admin)";"Display Actual Price <msrp_display_actual_price_type> (admin)";"Display Product Options In <options_container> (admin)";"Enable Recurring Profile <is_recurring> (admin)";"Group Price <group_price>";"ID <entity_id>";"Image Label <image_label> (admin)";"Links Exist  <links_exist> (admin)";"Links can be purchased separately <links_purchased_separately> (admin)";"Links title <links_title> (admin)";"Manufacturer <manufacturer> (admin)";"Manufacturer's Suggested Retail Price <msrp> (admin)";"Media Gallery <media_gallery>";"Meta Description <meta_description> (admin)";"Meta Keywords <meta_keyword> (admin)";"Meta Title <meta_title> (admin)";"Name <name> (admin)";"Old ID  <old_id> (admin)";"Page Layout <page_layout> (admin)";"Price <price> (admin)";"Price Type  <price_type> (admin)";"Price View <price_view> (admin)";"Recurring Payment Profile <recurring_profile> (admin)";"SKU <sku>";"Samples title <samples_title> (admin)";"Set Product as New from Date <news_from_date> (admin)";"Set Product as New to Date <news_to_date> (admin)";"Shipment <shipment_type> (admin)";"Short Description <short_description> (admin)";"Sku Type  <sku_type> (admin)";"Small Image <small_image> (admin)";"Small Image Label <small_image_label> (admin)";"Special Price <special_price> (admin)";"Special Price From Date <special_from_date> (admin)";"Special Price To Date <special_to_date> (admin)";"Status <status> (admin)";"Tax Class <tax_class_id> (admin)";"Thumbnail <thumbnail> (admin)";"Thumbnail Label <thumbnail_label> (admin)";"Tier Price <tier_price>";"URL Key <url_key> (admin)";"Updated At  <updated_at>";"Url Path  <url_path> (admin)";"Visibility <visibility> (admin)";"Weight <weight> (admin)";"Weight Type  <weight_type> (admin)";"产品类型 <type_id>";"低_库存_日期 <low_stock_date> (admin)";"使用配置使库存数量增加 <use_config_enable_qty_inc> (admin)";"使用配置数量增量 <use_config_qty_increments> (admin)";"使用配置设置为延期交货的 <use_config_backorders> (admin)";"使用配置设置管理库存 <use_config_manage_stock> (admin)";"分类路径 <category_ids> (admin)";"启用数量增量 <enable_qty_increments> (admin)";"在一个分类中的位置 <category_positions>";"媒体剪辑库位置 <media_gallery_position> (admin)";"媒体剪辑库排除 <media_gallery_exclude> (admin)";"媒体剪辑库标签 <media_gallery_label> (admin)";"属性集名称 <attribute_set_name>";"库存情况 <is_in_stock> (admin)";"当数量低于某个值时提醒 <notify_stock_qty> (admin)";"数量 <qty> (admin)";"数量可以使用小数 <is_qty_decimal> (admin)";"数量递增 <qty_increments> (admin)";"管理库存 <manage_stock> (admin)";"缺货 <backorders> (admin)";"网站 <websites> (admin)";"设置产品的最低库存量，低于该量则显示为缺货 <min_qty> (admin)";"设置当前库存最少达到多少数量时产品状态显示为脱销 <use_config_min_qty> (admin)";"购物车中允许的最大数量 <max_sale_qty> (admin)";"购物车中允许的最小数量 <min_sale_qty> (admin)";"购物车所允许的最大数量使用后台配置 <use_config_max_sale_qty> (admin)";"配置库存低时发出通知 <use_config_notify_stock_qty> (admin)";"配置购物车中允许加入的最少数量 <use_config_min_sale_qty> (admin)"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307.png";"";"";"2015-12-08 10:10:50";"";"";"专用印章";"4";"container1";"0";"";"1";"";"";"";"";"";"";"/i/c/icon120.png;/2/0/2015-01-26-0506307307.png";"";"";"";"一级注册建造师";"";"";"100";"";"";"";"yjzcjzs";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307.png";"";"";"";"";"1";"0";"no_selection";"";"";"yjzcjzs";"2015-12-10 18:27:13";"yjzcjzs.html";"4";"100";"";"simple";"";"1";"1";"1";"0";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"1";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2.png";"";"";"2015-12-10 17:33:31";"";"";"专用印章";"4";"container1";"0";"";"3";"";"";"";"";"";"";"/i/c/icon120_2.png;/2/0/2015-01-26-0506307307_2.png";"";"";"";"一级注册建筑师";"";"";"100";"";"";"";"yjzcjzs2";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2.png";"";"";"";"";"1";"0";"no_selection";"";"";"yjzcjzs2";"2015-12-10 18:27:09";"yjzcjzs2.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1.png";"";"";"2015-12-10 17:35:48";"";"";"专用印章";"4";"container1";"0";"";"4";"";"";"";"";"";"";"/i/c/icon120_2_1.png;/2/0/2015-01-26-0506307307_2_1.png";"";"";"";"一级注册结构工程师";"";"";"100";"";"";"";"yjzcjggcs";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"yjzcjggcs";"2015-12-10 18:27:04";"yjzcjggcs.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1.png";"";"";"2015-12-10 18:02:54";"";"";"专用印章";"4";"container1";"0";"";"5";"";"";"";"";"";"";"/i/c/icon120_2_1_1.png;/2/0/2015-01-26-0506307307_2_1_1.png";"";"";"";"注册造价工程师";"";"";"100";"";"";"";"zczjgcs";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"zczjgcs";"2015-12-10 18:26:59";"zczjgcs.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1.png";"";"";"2015-12-10 18:04:05";"";"";"专用印章";"4";"container1";"0";"";"6";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1.png";"";"";"";"注册监理工程师";"";"";"100";"";"";"";"zcjlgcs";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"zcjlgcs";"2015-12-10 18:26:53";"zcjlgcs.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1.png";"";"";"2015-12-10 18:04:50";"";"";"专用印章";"4";"container1";"0";"";"7";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1.png";"";"";"";"注册土木工程师";"";"";"100";"";"";"";"zctmgcs";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"zctmgcs";"2015-12-10 18:26:48";"zctmgcs.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1.png";"";"";"2015-12-10 18:05:32";"";"";"专用印章";"4";"container1";"0";"";"8";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1_1.png";"";"";"";"注册电气(供配电)工程师";"";"";"100";"";"";"";"zcdqgcs2";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"zcdqgcs2";"2015-12-10 18:26:43";"zcdqgcs2.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1.png";"";"";"2015-12-10 18:07:09";"";"";"专用印章";"4";"container1";"0";"";"9";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1.png";"";"";"";"公用设备(给水排水)工程师";"";"";"100";"";"";"";"gysbgcs1";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"gysbgcs1";"2015-12-10 18:26:36";"gysbgcs1.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1.png";"";"";"2015-12-10 18:07:36";"";"";"专用印章";"4";"container1";"0";"";"10";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1.png";"";"";"";"公用设备(暖道空调)工程师";"";"";"100";"";"";"";"gysbgcs2";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"gysbgcs2";"2015-12-10 18:26:31";"gysbgcs2.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1.png";"";"";"2015-12-10 18:09:32";"";"";"专用印章";"4";"container1";"0";"";"11";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1.png";"";"";"";"公用设备(动力)工程师";"";"";"100";"";"";"";"gysbgcs3";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"gysbgcs3";"2015-12-10 18:26:25";"gysbgcs3.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1.png";"";"";"2015-12-10 18:10:03";"";"";"专用印章";"4";"container1";"0";"";"12";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1_1_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1.png";"";"";"";"注册化工工程师";"";"";"100";"";"";"";"zchggcs";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"zchggcs";"2015-12-10 18:26:20";"zchggcs.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1.png";"";"";"2015-12-10 18:11:10";"";"";"专用印章";"4";"container1";"0";"";"13";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1_1_1_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1.png";"";"";"";"勘察设计企业出图章";"";"";"100";"";"";"";"kcsjqyctz";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"kcsjqyctz";"2015-12-10 18:26:13";"kcsjqyctz.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|企业出图章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"2015-12-10 18:13:31";"";"";"专用印章";"4";"container1";"0";"";"14";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1_1_1_1_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"";"造价咨询企业出图章";"";"";"100";"";"";"";"zjzxqyctz";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"zjzxqyctz";"2015-12-10 18:26:09";"zjzxqyctz.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|企业出图章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"2015-12-10 18:14:17";"";"";"专用印章";"4";"container1";"0";"";"15";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1_1_1_1_1_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"";"施工企业出图章";"";"";"100";"";"";"";"sgqyctz";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"sgqyctz";"2015-12-10 18:26:04";"sgqyctz.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|企业出图章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"2015-12-10 18:15:11";"";"";"专用印章";"4";"container1";"0";"";"16";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1_1_1_1_1_1_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"";"普通私章";"";"";"100";"";"";"";"ptsz";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"ptsz";"2015-12-10 18:25:16";"ptsz.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|私章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"2015-12-10 18:21:23";"";"";"专用印章";"4";"container1";"0";"";"17";"";"";"";"";"";"";"/i/c/icon120_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1.png;/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"";"签字章";"";"";"100";"";"";"";"qzz";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"qzz";"2015-12-10 18:24:40";"qzz.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|私章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_3.png";"";"";"2015-12-15 22:53:27";"";"";"专用印章";"4";"container1";"0";"";"18";"";"";"";"";"";"";"/i/c/icon120_3.png;/2/0/2015-01-26-0506307307_3.png";"";"";"";"二级注册建造师";"";"";"100";"";"";"";"ejzcjzs";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_3.png";"";"";"";"";"1";"0";"no_selection";"";"";"ejzcjzs";"2015-12-15 22:54:03";"ejzcjzs.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_2.png";"";"";"2015-12-15 22:54:13";"";"";"专用印章";"4";"container1";"0";"";"19";"";"";"";"";"";"";"/i/c/icon120_2_2.png;/2/0/2015-01-26-0506307307_2_2.png";"";"";"";"二级注册建筑师";"";"";"100";"";"";"";"ejzcjzs2";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_2.png";"";"";"";"";"1";"0";"no_selection";"";"";"ejzcjzs2";"2015-12-15 22:54:40";"ejzcjzs2.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_2.png";"";"";"2015-12-15 22:55:09";"";"";"专用印章";"4";"container1";"0";"";"20";"";"";"";"";"";"";"/i/c/icon120_2_1_2.png;/2/0/2015-01-26-0506307307_2_1_2.png";"";"";"";"二级注册结构工程师";"";"";"100";"";"";"";"ejzcjggcs";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_2.png";"";"";"";"";"1";"0";"no_selection";"";"";"ejzcjggcs";"2015-12-15 22:55:28";"ejzcjggcs.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"
"";"";"";"";"2";"/2/0/2015-01-26-0506307307_2_1_2_1.png";"";"";"2015-12-17 11:55:47";"";"";"专用印章";"4";"container1";"0";"";"21";"";"";"";"";"";"";"/i/c/icon120_2_1_2_1.png;/2/0/2015-01-26-0506307307_2_1_2_1.png";"";"";"";"test1";"";"";"100";"";"";"";"test1";"";"2015-12-15";"";"";"专用印章";"";"/2/0/2015-01-26-0506307307_2_1_2_1.png";"";"";"";"";"1";"0";"no_selection";"";"";"test1";"2015-12-17 12:10:58";"test1.html";"4";"100";"";"simple";"";"1";"1";"1";"1";"Default Category|建设执业资格注册师执业印章";"0";"1";"1;2";"0;0";";";"Default";"1";"";"1000";"0";"0";"0";"0";"base";"0";"1";"0";"1";"1";"1";"1"